,year,pop,lifeExp,gdpPercap,country,continent
0,1952,8425333.0,28.801,779.4453145,Afghanistan,Asia
1,1957,9240934.0,30.332,820.8530296,Afghanistan,Asia
2,1962,10267083.0,31.997,853.10071,Afghanistan,Asia
3,1967,11537966.0,34.02,836.1971382,Afghanistan,Asia
4,1972,13079460.0,36.088,739.9811058,Afghanistan,Asia
5,1977,14880372.0,38.438,786.11336,Afghanistan,Asia
6,1982,12881816.0,39.854,978.0114388,Afghanistan,Asia
7,1987,13867957.0,40.822,852.3959448,Afghanistan,Asia
8,1992,16317921.0,41.674,649.3413952,Afghanistan,Asia
9,1997,22227415.0,41.763,635.341351,Afghanistan,Asia
10,2002,25268405.0,42.129,726.7340548,Afghanistan,Asia
11,2007,31889923.0,43.828,974.5803384,Afghanistan,Asia
12,1952,1282697.0,55.23,1601.056136,Albania,Europe
13,1957,1476505.0,59.28,1942.284244,Albania,Europe
14,1962,1728137.0,64.82,2312.888958,Albania,Europe
15,1967,1984060.0,66.22,2760.196931,Albania,Europe
16,1972,2263554.0,67.69,3313.422188,Albania,Europe
17,1977,2509048.0,68.93,3533.00391,Albania,Europe
18,1982,2780097.0,70.42,3630.880722,Albania,Europe
19,1987,3075321.0,72.0,3738.932735,Albania,Europe
20,1992,3326498.0,71.581,2497.437901,Albania,Europe
21,1997,3428038.0,72.95,3193.054604,Albania,Europe
22,2002,3508512.0,75.651,4604.211737,Albania,Europe
23,2007,3600523.0,76.423,5937.029526,Albania,Europe
24,1952,9279525.0,43.077,2449.008185,Algeria,Africa
25,1957,10270856.0,45.685,3013.976023,Algeria,Africa
26,1962,11000948.0,48.303,2550.81688,Algeria,Africa
27,1967,12760499.0,51.407,3246.991771,Algeria,Africa
28,1972,14760787.0,54.518,4182.663766,Algeria,Africa
29,1977,17152804.0,58.014,4910.416756,Algeria,Africa
30,1982,20033753.0,61.368,5745.160213,Algeria,Africa
31,1987,23254956.0,65.799,5681.358539,Algeria,Africa
32,1992,26298373.0,67.744,5023.216647,Algeria,Africa
33,1997,29072015.0,69.152,4797.295051,Algeria,Africa
34,2002,31287142.0,70.994,5288.040382,Algeria,Africa
35,2007,33333216.0,72.301,6223.367465,Algeria,Africa
36,1952,4232095.0,30.015,3520.610273,Angola,Africa
37,1957,4561361.0,31.999,3827.940465,Angola,Africa
38,1962,4826015.0,34.0,4269.276742,Angola,Africa
39,1967,5247469.0,35.985,5522.776375,Angola,Africa
40,1972,5894858.0,37.928,5473.288005,Angola,Africa
41,1977,6162675.0,39.483,3008.647355,Angola,Africa
42,1982,7016384.0,39.942,2756.953672,Angola,Africa
43,1987,7874230.0,39.906,2430.208311,Angola,Africa
44,1992,8735988.0,40.647,2627.845685,Angola,Africa
45,1997,9875024.0,40.963,2277.140884,Angola,Africa
46,2002,10866106.0,41.003,2773.287312,Angola,Africa
47,2007,12420476.0,42.731,4797.231267,Angola,Africa
48,1952,17876956.0,62.485,5911.315053,Argentina,Americas
49,1957,19610538.0,64.399,6856.856212,Argentina,Americas
50,1962,21283783.0,65.142,7133.166023,Argentina,Americas
51,1967,22934225.0,65.634,8052.953021,Argentina,Americas
52,1972,24779799.0,67.065,9443.038526,Argentina,Americas
53,1977,26983828.0,68.481,10079.02674,Argentina,Americas
54,1982,29341374.0,69.942,8997.897412,Argentina,Americas
55,1987,31620918.0,70.774,9139.671389,Argentina,Americas
56,1992,33958947.0,71.868,9308.41871,Argentina,Americas
57,1997,36203463.0,73.275,10967.28195,Argentina,Americas
58,2002,38331121.0,74.34,8797.640716,Argentina,Americas
59,2007,40301927.0,75.32,12779.37964,Argentina,Americas
60,1952,8691212.0,69.12,10039.59564,Australia,Oceania
61,1957,9712569.0,70.33,10949.64959,Australia,Oceania
62,1962,10794968.0,70.93,12217.22686,Australia,Oceania
63,1967,11872264.0,71.1,14526.12465,Australia,Oceania
64,1972,13177000.0,71.93,16788.62948,Australia,Oceania
65,1977,14074100.0,73.49,18334.19751,Australia,Oceania
66,1982,15184200.0,74.74,19477.00928,Australia,Oceania
67,1987,16257249.0,76.32,21888.88903,Australia,Oceania
68,1992,17481977.0,77.56,23424.76683,Australia,Oceania
69,1997,18565243.0,78.83,26997.93657,Australia,Oceania
70,2002,19546792.0,80.37,30687.75473,Australia,Oceania
71,2007,20434176.0,81.235,34435.36744,Australia,Oceania
72,1952,6927772.0,66.8,6137.076492,Austria,Europe
73,1957,6965860.0,67.48,8842.59803,Austria,Europe
74,1962,7129864.0,69.54,10750.72111,Austria,Europe
75,1967,7376998.0,70.14,12834.6024,Austria,Europe
76,1972,7544201.0,70.63,16661.6256,Austria,Europe
77,1977,7568430.0,72.17,19749.4223,Austria,Europe
78,1982,7574613.0,73.18,21597.08362,Austria,Europe
79,1987,7578903.0,74.94,23687.82607,Austria,Europe
80,1992,7914969.0,76.04,27042.01868,Austria,Europe
81,1997,8069876.0,77.51,29095.92066,Austria,Europe
82,2002,8148312.0,78.98,32417.60769,Austria,Europe
83,2007,8199783.0,79.829,36126.4927,Austria,Europe
84,1952,120447.0,50.939,9867.084765,Bahrain,Asia
85,1957,138655.0,53.832,11635.79945,Bahrain,Asia
86,1962,171863.0,56.923,12753.27514,Bahrain,Asia
87,1967,202182.0,59.923,14804.6727,Bahrain,Asia
88,1972,230800.0,63.3,18268.65839,Bahrain,Asia
89,1977,297410.0,65.593,19340.10196,Bahrain,Asia
90,1982,377967.0,69.052,19211.14731,Bahrain,Asia
91,1987,454612.0,70.75,18524.02406,Bahrain,Asia
92,1992,529491.0,72.601,19035.57917,Bahrain,Asia
93,1997,598561.0,73.925,20292.01679,Bahrain,Asia
94,2002,656397.0,74.795,23403.55927,Bahrain,Asia
95,2007,708573.0,75.635,29796.04834,Bahrain,Asia
96,1952,46886859.0,37.484,684.2441716,Bangladesh,Asia
97,1957,51365468.0,39.348,661.6374577,Bangladesh,Asia
98,1962,56839289.0,41.216,686.3415538,Bangladesh,Asia
99,1967,62821884.0,43.453,721.1860862,Bangladesh,Asia
100,1972,70759295.0,45.252,630.2336265,Bangladesh,Asia
101,1977,80428306.0,46.923,659.8772322,Bangladesh,Asia
102,1982,93074406.0,50.009,676.9818656,Bangladesh,Asia
103,1987,103764241.0,52.819,751.9794035,Bangladesh,Asia
104,1992,113704579.0,56.018,837.8101643,Bangladesh,Asia
105,1997,123315288.0,59.412,972.7700352,Bangladesh,Asia
106,2002,135656790.0,62.013,1136.39043,Bangladesh,Asia
107,2007,150448339.0,64.062,1391.253792,Bangladesh,Asia
108,1952,8730405.0,68.0,8343.105127,Belgium,Europe
109,1957,8989111.0,69.24,9714.960623,Belgium,Europe
110,1962,9218400.0,70.25,10991.20676,Belgium,Europe
111,1967,9556500.0,70.94,13149.04119,Belgium,Europe
112,1972,9709100.0,71.44,16672.14356,Belgium,Europe
113,1977,9821800.0,72.8,19117.97448,Belgium,Europe
114,1982,9856303.0,73.93,20979.84589,Belgium,Europe
115,1987,9870200.0,75.35,22525.56308,Belgium,Europe
116,1992,10045622.0,76.46,25575.57069,Belgium,Europe
117,1997,10199787.0,77.53,27561.19663,Belgium,Europe
118,2002,10311970.0,78.32,30485.88375,Belgium,Europe
119,2007,10392226.0,79.441,33692.60508,Belgium,Europe
120,1952,1738315.0,38.223,1062.7522,Benin,Africa
121,1957,1925173.0,40.358,959.6010805,Benin,Africa
122,1962,2151895.0,42.618,949.4990641,Benin,Africa
123,1967,2427334.0,44.885,1035.831411,Benin,Africa
124,1972,2761407.0,47.014,1085.796879,Benin,Africa
125,1977,3168267.0,49.19,1029.161251,Benin,Africa
126,1982,3641603.0,50.904,1277.897616,Benin,Africa
127,1987,4243788.0,52.337,1225.85601,Benin,Africa
128,1992,4981671.0,53.919,1191.207681,Benin,Africa
129,1997,6066080.0,54.777,1232.975292,Benin,Africa
130,2002,7026113.0,54.406,1372.877931,Benin,Africa
131,2007,8078314.0,56.728,1441.284873,Benin,Africa
132,1952,2883315.0,40.414,2677.326347,Bolivia,Americas
133,1957,3211738.0,41.89,2127.686326,Bolivia,Americas
134,1962,3593918.0,43.428,2180.972546,Bolivia,Americas
135,1967,4040665.0,45.032,2586.886053,Bolivia,Americas
136,1972,4565872.0,46.714,2980.331339,Bolivia,Americas
137,1977,5079716.0,50.023,3548.097832,Bolivia,Americas
138,1982,5642224.0,53.859,3156.510452,Bolivia,Americas
139,1987,6156369.0,57.251,2753.69149,Bolivia,Americas
140,1992,6893451.0,59.957,2961.699694,Bolivia,Americas
141,1997,7693188.0,62.05,3326.143191,Bolivia,Americas
142,2002,8445134.0,63.883,3413.26269,Bolivia,Americas
143,2007,9119152.0,65.554,3822.137084,Bolivia,Americas
144,1952,2791000.0,53.82,973.5331948,Bosnia and Herzegovina,Europe
145,1957,3076000.0,58.45,1353.989176,Bosnia and Herzegovina,Europe
146,1962,3349000.0,61.93,1709.683679,Bosnia and Herzegovina,Europe
147,1967,3585000.0,64.79,2172.352423,Bosnia and Herzegovina,Europe
148,1972,3819000.0,67.45,2860.16975,Bosnia and Herzegovina,Europe
149,1977,4086000.0,69.86,3528.481305,Bosnia and Herzegovina,Europe
150,1982,4172693.0,70.69,4126.613157,Bosnia and Herzegovina,Europe
151,1987,4338977.0,71.14,4314.114757,Bosnia and Herzegovina,Europe
152,1992,4256013.0,72.178,2546.781445,Bosnia and Herzegovina,Europe
153,1997,3607000.0,73.244,4766.355904,Bosnia and Herzegovina,Europe
154,2002,4165416.0,74.09,6018.975239,Bosnia and Herzegovina,Europe
155,2007,4552198.0,74.852,7446.298803,Bosnia and Herzegovina,Europe
156,1952,442308.0,47.622,851.2411407,Botswana,Africa
157,1957,474639.0,49.618,918.2325349,Botswana,Africa
158,1962,512764.0,51.52,983.6539764,Botswana,Africa
159,1967,553541.0,53.298,1214.709294,Botswana,Africa
160,1972,619351.0,56.024,2263.611114,Botswana,Africa
161,1977,781472.0,59.319,3214.857818,Botswana,Africa
162,1982,970347.0,61.484,4551.14215,Botswana,Africa
163,1987,1151184.0,63.622,6205.88385,Botswana,Africa
164,1992,1342614.0,62.745,7954.111645,Botswana,Africa
165,1997,1536536.0,52.556,8647.142313,Botswana,Africa
166,2002,1630347.0,46.634,11003.60508,Botswana,Africa
167,2007,1639131.0,50.728,12569.85177,Botswana,Africa
168,1952,56602560.0,50.917,2108.944355,Brazil,Americas
169,1957,65551171.0,53.285,2487.365989,Brazil,Americas
170,1962,76039390.0,55.665,3336.585802,Brazil,Americas
171,1967,88049823.0,57.632,3429.864357,Brazil,Americas
172,1972,100840058.0,59.504,4985.711467,Brazil,Americas
173,1977,114313951.0,61.489,6660.118654,Brazil,Americas
174,1982,128962939.0,63.336,7030.835878,Brazil,Americas
175,1987,142938076.0,65.205,7807.095818,Brazil,Americas
176,1992,155975974.0,67.057,6950.283021,Brazil,Americas
177,1997,168546719.0,69.388,7957.980824,Brazil,Americas
178,2002,179914212.0,71.006,8131.212843,Brazil,Americas
179,2007,190010647.0,72.39,9065.800825,Brazil,Americas
180,1952,7274900.0,59.6,2444.286648,Bulgaria,Europe
181,1957,7651254.0,66.61,3008.670727,Bulgaria,Europe
182,1962,8012946.0,69.51,4254.337839,Bulgaria,Europe
183,1967,8310226.0,70.42,5577.0028,Bulgaria,Europe
184,1972,8576200.0,70.9,6597.494398,Bulgaria,Europe
185,1977,8797022.0,70.81,7612.240438,Bulgaria,Europe
186,1982,8892098.0,71.08,8224.191647,Bulgaria,Europe
187,1987,8971958.0,71.34,8239.854824,Bulgaria,Europe
188,1992,8658506.0,71.19,6302.623438,Bulgaria,Europe
189,1997,8066057.0,70.32,5970.38876,Bulgaria,Europe
190,2002,7661799.0,72.14,7696.777725,Bulgaria,Europe
191,2007,7322858.0,73.005,10680.79282,Bulgaria,Europe
192,1952,4469979.0,31.975,543.2552413,Burkina Faso,Africa
193,1957,4713416.0,34.906,617.1834648,Burkina Faso,Africa
194,1962,4919632.0,37.814,722.5120206,Burkina Faso,Africa
195,1967,5127935.0,40.697,794.8265597,Burkina Faso,Africa
196,1972,5433886.0,43.591,854.7359763,Burkina Faso,Africa
197,1977,5889574.0,46.137,743.3870368,Burkina Faso,Africa
198,1982,6634596.0,48.122,807.1985855,Burkina Faso,Africa
199,1987,7586551.0,49.557,912.0631417,Burkina Faso,Africa
200,1992,8878303.0,50.26,931.7527731,Burkina Faso,Africa
201,1997,10352843.0,50.324,946.2949618,Burkina Faso,Africa
202,2002,12251209.0,50.65,1037.645221,Burkina Faso,Africa
203,2007,14326203.0,52.295,1217.032994,Burkina Faso,Africa
204,1952,2445618.0,39.031,339.2964587,Burundi,Africa
205,1957,2667518.0,40.533,379.5646281,Burundi,Africa
206,1962,2961915.0,42.045,355.2032273,Burundi,Africa
207,1967,3330989.0,43.548,412.9775136,Burundi,Africa
208,1972,3529983.0,44.057,464.0995039,Burundi,Africa
209,1977,3834415.0,45.91,556.1032651,Burundi,Africa
210,1982,4580410.0,47.471,559.603231,Burundi,Africa
211,1987,5126023.0,48.211,621.8188189,Burundi,Africa
212,1992,5809236.0,44.736,631.6998778,Burundi,Africa
213,1997,6121610.0,45.326,463.1151478,Burundi,Africa
214,2002,7021078.0,47.36,446.4035126,Burundi,Africa
215,2007,8390505.0,49.58,430.0706916,Burundi,Africa
216,1952,4693836.0,39.417,368.4692856,Cambodia,Asia
217,1957,5322536.0,41.366,434.0383364,Cambodia,Asia
218,1962,6083619.0,43.415,496.9136476,Cambodia,Asia
219,1967,6960067.0,45.415,523.4323142,Cambodia,Asia
220,1972,7450606.0,40.317,421.6240257,Cambodia,Asia
221,1977,6978607.0,31.22,524.9721832,Cambodia,Asia
222,1982,7272485.0,50.957,624.4754784,Cambodia,Asia
223,1987,8371791.0,53.914,683.8955732,Cambodia,Asia
224,1992,10150094.0,55.803,682.3031755,Cambodia,Asia
225,1997,11782962.0,56.534,734.28517,Cambodia,Asia
226,2002,12926707.0,56.752,896.2260153,Cambodia,Asia
227,2007,14131858.0,59.723,1713.778686,Cambodia,Asia
228,1952,5009067.0,38.523,1172.667655,Cameroon,Africa
229,1957,5359923.0,40.428,1313.048099,Cameroon,Africa
230,1962,5793633.0,42.643,1399.607441,Cameroon,Africa
231,1967,6335506.0,44.799,1508.453148,Cameroon,Africa
232,1972,7021028.0,47.049,1684.146528,Cameroon,Africa
233,1977,7959865.0,49.355,1783.432873,Cameroon,Africa
234,1982,9250831.0,52.961,2367.983282,Cameroon,Africa
235,1987,10780667.0,54.985,2602.664206,Cameroon,Africa
236,1992,12467171.0,54.314,1793.163278,Cameroon,Africa
237,1997,14195809.0,52.199,1694.337469,Cameroon,Africa
238,2002,15929988.0,49.856,1934.011449,Cameroon,Africa
239,2007,17696293.0,50.43,2042.09524,Cameroon,Africa
240,1952,14785584.0,68.75,11367.16112,Canada,Americas
241,1957,17010154.0,69.96,12489.95006,Canada,Americas
242,1962,18985849.0,71.3,13462.48555,Canada,Americas
243,1967,20819767.0,72.13,16076.58803,Canada,Americas
244,1972,22284500.0,72.88,18970.57086,Canada,Americas
245,1977,23796400.0,74.21,22090.88306,Canada,Americas
246,1982,25201900.0,75.76,22898.79214,Canada,Americas
247,1987,26549700.0,76.86,26626.51503,Canada,Americas
248,1992,28523502.0,77.95,26342.88426,Canada,Americas
249,1997,30305843.0,78.61,28954.92589,Canada,Americas
250,2002,31902268.0,79.77,33328.96507,Canada,Americas
251,2007,33390141.0,80.653,36319.23501,Canada,Americas
252,1952,1291695.0,35.463,1071.310713,Central African Republic,Africa
253,1957,1392284.0,37.464,1190.844328,Central African Republic,Africa
254,1962,1523478.0,39.475,1193.068753,Central African Republic,Africa
255,1967,1733638.0,41.478,1136.056615,Central African Republic,Africa
256,1972,1927260.0,43.457,1070.013275,Central African Republic,Africa
257,1977,2167533.0,46.775,1109.374338,Central african republic,Africa
258,1982,2476971.0,48.295,956.7529907,Central african republic,Africa
259,1987,2840009.0,50.485,844.8763504,Central african republic,Africa
260,1992,3265124.0,49.396,747.9055252,Central african republic,Africa
261,1997,3696513.0,46.066,740.5063317,Central African Republic,Africa
262,2002,4048013.0,43.308,738.6906068,Central African Republic,Africa
263,2007,4369038.0,44.741,706.016537,Central African Republic,Africa
264,1952,2682462.0,38.092,1178.665927,Chad,Africa
265,1957,2894855.0,39.881,1308.495577,Chad,Africa
266,1962,3150417.0,41.716,1389.817618,Chad,Africa
267,1967,3495967.0,43.601,1196.810565,Chad,Africa
268,1972,3899068.0,45.569,1104.103987,Chad,Africa
269,1977,4388260.0,47.383,1133.98495,Chad,Africa
270,1982,4875118.0,49.517,797.9081006,Chad,Africa
271,1987,5498955.0,51.051,952.386129,Chad,Africa
272,1992,6429417.0,51.724,1058.0643,Chad,Africa
273,1997,7562011.0,51.573,1004.961353,Chad,Africa
274,2002,8835739.0,50.525,1156.18186,Chad,Africa
275,2007,10238807.0,50.651,1704.063724,Chad,Africa
276,1952,6377619.0,54.745,3939.978789,Chile,Americas
277,1957,7048426.0,56.074,4315.622723,Chile,Americas
278,1962,7961258.0,57.924,4519.094331,Chile,Americas
279,1967,8858908.0,60.523,5106.654313,Chile,Americas
280,1972,9717524.0,63.441,5494.024437,Chile,Americas
281,1977,10599793.0,67.052,4756.763836,Chile,Americas
282,1982,11487112.0,70.565,5095.665738,Chile,Americas
283,1987,12463354.0,72.492,5547.063754,Chile,Americas
284,1992,13572994.0,74.126,7596.125964,Chile,Americas
285,1997,14599929.0,75.816,10118.05318,Chile,Americas
286,2002,15497046.0,77.86,10778.78385,Chile,Americas
287,2007,16284741.0,78.553,13171.63885,Chile,Americas
288,1952,556263527.999989,44.0,400.448610699994,China,Asia
289,1957,637408000.0,50.54896,575.9870009,China,Asia
290,1962,665770000.0,44.50136,487.6740183,China,Asia
291,1967,754550000.0,58.38112,612.7056934,China,Asia
292,1972,862030000.0,63.11888,676.9000921,China,Asia
293,1977,943455000.0,63.96736,741.2374699,china,Asia
294,1982,1000281000.0,65.525,962.4213805,china,Asia
295,1987,1084035000.0,67.274,1378.904018,china,Asia
296,1992,1164970000.0,68.69,1655.784158,china,Asia
297,1997,1230075000.0,70.426,2289.234136,China,Asia
298,2002,1280400000.0,72.028,3119.280896,China,Asia
299,2007,1318683096.0,72.961,4959.114854,China,Asia
300,1952,12350771.0,50.643,2144.115096,Colombia,Americas
301,1957,14485993.0,55.118,2323.805581,Colombia,Americas
302,1962,17009885.0,57.863,2492.351109,Colombia    ,Americas
303,1967,19764027.0,59.963,2678.729839,Colombia    ,Americas
304,1972,22542890.0,61.623,3264.660041,Colombia,Americas
305,1977,25094412.0,63.837,3815.80787,Colombia,Americas
306,1982,27764644.0,66.653,4397.575659,Colombia,Americas
307,1987,30964245.0,67.768,4903.2191,Colombia,Americas
308,1992,34202721.0,68.421,5444.648617,Colombia,Americas
309,1997,37657830.0,70.313,6117.361746,Colombia,Americas
310,2002,41008227.0,71.682,5755.259962,Colombia,Americas
311,2007,44227550.0,72.889,7006.580419,Colombia,Americas
312,1952,153936.0,40.715,1102.990936,Comoros,Africa
313,1957,170928.0,42.46,1211.148548,Comoros,Africa
314,1962,191689.0,44.467,1406.648278,Comoros,Africa
315,1967,217378.0,46.472,1876.029643,Comoros,Africa
316,1972,250027.0,48.944,1937.577675,Comoros,Africa
317,1977,304739.0,50.939,1172.603047,Comoros,Africa
318,1982,348643.0,52.933,1267.100083,Comoros,Africa
319,1987,395114.0,54.926,1315.980812,Comoros,Africa
320,1992,454429.0,57.939,1246.90737,Comoros,Africa
321,1997,527982.0,60.66,1173.618235,Comoros,Africa
322,2002,614382.0,62.974,1075.811558,Comoros,Africa
323,2007,710960.0,65.152,986.1478792,Comoros,Africa
324,1952,14100005.0,39.143,780.5423257,"Congo, Dem. Rep.",Africa
325,1957,15577932.0,40.652,905.8602303,"Congo, Dem. Rep.",Africa
326,1962,17486434.0,42.122,896.3146335,"Congo, Dem. Rep.",Africa
327,1967,19941073.0,44.056,861.5932424,"Congo, Dem. Rep.",Africa
328,1972,23007669.0,45.989,904.8960685,Democratic Republic of the Congo,Africa
329,1977,26480870.0,47.804,795.757282,"Congo, Dem. Rep.",Africa
330,1982,30646495.0,47.784,673.7478181,"Congo, Dem. Rep.",Africa
331,1987,35481645.0,47.412,672.774812,"Congo, Dem. Rep.",Africa
332,1992,41672143.0,45.548,457.7191807,"Congo, Dem. Rep.",Africa
333,1997,47798986.0,42.587,312.188423,"Congo, Democratic Republic",Africa
334,2002,55379852.0,44.966,241.1658765,"Congo, Dem. Rep.",Africa
335,2007,64606759.0,46.462,277.5518587,"Congo, Dem. Rep.",Africa
336,1952,854885.0,42.111,2125.621418,"Congo, Rep.",Africa
337,1957,940458.0,45.053,2315.056572,"Congo, Rep.",Africa
338,1962,1047924.0,48.435,2464.783157,"Congo, Rep.",Africa
339,1967,1179760.0,52.04,2677.939642,"Congo, Rep.",Africa
340,1972,1340458.0,54.907,3213.152683,"Congo, Rep.",Africa
341,1977,1536769.0,55.625,3259.178978,"Congo, Rep.",Africa
342,1982,1774735.0,56.695,4879.507522,"Congo, Rep.",Africa
343,1987,2064095.0,57.47,4201.194937,"Congo, Rep.",Africa
344,1992,2409073.0,56.433,4016.239529,"Congo, Rep.",Africa
345,1997,2800947.0,52.962,3484.164376,"Congo, Rep.",Africa
346,2002,3328795.0,52.97,3484.06197,"Congo, Rep.",Africa
347,2007,3800610.0,55.322,3632.557798,"Congo, Rep.",Africa
348,1952,926317.0,57.206,2627.009471,Costa Rica,Americas
349,1957,1112300.0,60.026,2990.010802,Costa Rica,Americas
350,1962,1345187.0,62.842,3460.937025,Costa Rica,Americas
351,1967,1588717.0,65.424,4161.727834,Costa Rica,Americas
352,1972,1834796.0,67.849,5118.146939,Costa Rica,Americas
353,1977,2108457.0,70.75,5926.876967,Costa Rica,Americas
354,1982,2424367.0,73.45,5262.734751,Costa Rica,Americas
355,1987,2799811.0,74.752,5629.915318,Costa Rica,Americas
356,1992,3173216.0,75.713,6160.416317,Costa Rica,Americas
357,1997,3518107.0,77.26,6677.045314,Costa Rica,Americas
358,2002,3834934.0,78.123,7723.447195,Costa Rica,Americas
359,2007,4133884.0,78.782,9645.06142,Costa Rica,Americas
360,1952,2977019.0,40.477,1388.594732,Cote d'Ivoire,Africa
361,1957,3300000.0,42.469,1500.895925,Cote d'Ivoire,Africa
362,1962,3832408.0,44.93,1728.869428,Cote d'Ivoire,Africa
363,1967,4744870.0,47.35,2052.050473,Cote d'Ivoire,Africa
364,1972,6071696.0,49.801,2378.201111,Cote d'Ivoire,Africa
365,1977,7459574.0,52.374,2517.736547,Cote d'Ivoire,Africa
366,1982,9025951.0,53.983,2602.710169,Cote d'Ivoire,Africa
367,1987,10761098.0,54.655,2156.956069,Cote d'Ivoire,Africa
368,1992,12772596.0,52.044,1648.073791,Cote d'Ivoire,Africa
369,1997,14625967.0,47.991,1786.265407,Cote d'Ivore,Africa
370,2002,16252726.0,46.832,1648.800823,Cote d'Ivoire,Africa
371,2007,18013409.0,48.328,1544.750112,Cote d'Ivoire,Africa
372,1952,3882229.0,61.21,3119.23652,Croatia,Europe
373,1957,3991242.0,64.77,4338.231617,Croatia,Europe
374,1962,4076557.0,67.13,5477.890018,Croatia,Europe
375,1967,4174366.0,68.5,6960.297861,Croatia,Europe
376,1972,4225310.0,69.61,9164.090127,Croatia,Europe
377,1977,4318673.0,70.64,11305.38517,Croatia,Europe
378,1982,4413368.0,70.46,13221.82184,Croatia,Europe
379,1987,4484310.0,71.52,13822.58394,Croatia,Europe
380,1992,4494013.0,72.527,8447.794873,Croatia,Europe
381,1997,4444595.0,73.68,9875.604515,Croatia,Europe
382,2002,4481020.0,74.876,11628.38895,Croatia,Europe
383,2007,4493312.0,75.748,14619.22272,Croatia,Europe
384,1952,6007797.0,59.421,5586.53878,Cuba,Americas
385,1957,6640752.0,62.325,6092.174359,Cuba,Americas
386,1962,7254373.0,65.246,5180.75591,Cuba,Americas
387,1967,8139332.0,68.29,5690.268015,Cuba,Americas
388,1972,8831348.0,70.723,5305.445256,Cuba,Americas
389,1977,9537988.0,72.649,6380.494966,Cuba,Americas
390,1982,9789224.0,73.717,7316.918107,Cuba,Americas
391,1987,10239839.0,74.174,7532.924763,Cuba,Americas
392,1992,10723260.0,74.414,5592.843963,Cuba,Americas
393,1997,10983007.0,76.151,5431.990415,Cuba,Americas
394,2002,11226999.0,77.158,6340.646683,Cuba,Americas
395,2007,11416987.0,78.273,8948.102923,Cuba,Americas
396,1952,9125183.0,66.87,6876.14025,Czech Republic,Europe
397,1957,9513758.0,69.03,8256.343918,Czech Republic,Europe
398,1962,9620282.0,69.9,10136.86713,Czech Republic,Europe
399,1967,9835109.0,70.38,11399.44489,Czech Republic,Europe
400,1972,9862158.0,70.29,13108.4536,Czech Republic,Europe
401,1977,10161915.0,70.71,14800.16062,Czech Republic,Europe
402,1982,10303704.0,70.96,15377.22855,Czech Republic,Europe
403,1987,10311597.0,71.58,16310.4434,Czech Republic,Europe
404,1992,10315702.0,72.4,14297.02122,Czech Republic,Europe
405,1997,10300707.0,74.01,16048.51424,Czech Republic,Europe
406,2002,10256295.0,75.51,17596.21022,Czech Republic,Europe
407,2007,10228744.0,76.486,22833.30851,Czech Republic,Europe
408,1952,4334000.0,70.78,9692.385245,Denmark,Europe
409,1957,4487831.0,71.81,11099.65935,Denmark,Europe
410,1962,4646899.0,72.35,13583.31351,Denmark,Europe
411,1967,4838800.0,72.96,15937.21123,Denmark,Europe
412,1972,4991596.0,73.47,18866.20721,Denmark,Europe
413,1977,5088419.0,74.69,20422.9015,Denmark,Europe
414,1982,5117810.0,74.63,21688.04048,Denmark,Europe
415,1987,5127024.0,74.8,25116.17581,Denmark,Europe
416,1992,5171393.0,75.33,26406.73985,Denmark,Europe
417,1997,5283663.0,76.11,29804.34567,Denmark,Europe
418,2002,5374693.0,77.18,32166.50006,Denmark,Europe
419,2007,5468120.0,78.332,35278.41874,Denmark,Europe
420,1952,63149.0,34.812,2669.529475,Djibouti,Africa
421,1957,71851.0,37.328,2864.969076,Djibouti,Africa
